,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
6,2018-12-03 00:00:00.0000000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,133,192,192
269472,2018-12-03 18:15:13.5350000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
269594,2018-12-03 18:16:34.2540000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
269717,2018-12-03 18:16:44.2490000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
270920,2018-12-03 18:54:33.8790000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
271042,2018-12-03 18:55:54.1600000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
271165,2018-12-03 18:56:03.9990000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
279827,2018-12-03 19:31:24.3470000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
279949,2018-12-03 19:32:44.3940000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
280077,2018-12-03 19:32:54.3740000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
630813,2018-12-04 19:14:54.3160000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
630935,2018-12-04 19:16:13.9730000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
631079,2018-12-04 19:16:23.9680000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
958215,2018-12-05 18:48:03.6130000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
958337,2018-12-05 18:49:23.8480000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
958478,2018-12-05 18:49:33.8430000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1259899,2018-12-06 13:07:03.5150000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1260021,2018-12-06 13:08:24.4680000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
1260144,2018-12-06 13:08:34.5880000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1270915,2018-12-06 19:03:04.0570000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,24,24
1271037,2018-12-06 19:04:24.3430000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
1271162,2018-12-06 19:04:34.3380000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1272708,2018-12-06 19:53:53.7030000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1272830,2018-12-06 19:55:14.2180000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
1272956,2018-12-06 19:55:24.2130000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1273172,2018-12-06 19:59:34.3750000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1273294,2018-12-06 20:00:54.3750000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
1273418,2018-12-06 20:01:04.3700000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1273701,2018-12-06 20:07:13.8120000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1273823,2018-12-06 20:08:43.7600000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1559927,2018-12-07 16:34:24.0990000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1560049,2018-12-07 16:46:43.8650000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
1560174,2018-12-07 16:46:53.8600000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1560761,2018-12-07 16:58:23.7240000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1560883,2018-12-07 16:59:43.7710000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
1561011,2018-12-07 16:59:53.7660000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
1909165,2018-12-08 19:32:34.0040000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
1909287,2018-12-08 19:34:04.0300000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
2062466,2018-12-09 05:19:34.1190000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
2062588,2018-12-09 05:27:44.3690000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
2062720,2018-12-09 05:27:54.3800000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
2091144,2018-12-09 07:10:43.6350000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
2091266,2018-12-09 07:11:03.6300000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
2232896,2018-12-09 17:48:33.7600000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
2233018,2018-12-09 17:51:13.7280000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,704,192
2233140,2018-12-09 17:51:23.7390000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
2240172,2018-12-09 18:39:54.4630000,DTMK_dy1pd_1bpbpzgpyx.PV,,,1,536,24
2240294,2018-12-09 18:42:44.2230000,DTMK_dy1pd_1bpbpzgpyx.PV,0.0,0.0,0,192,192
