,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
7,2018-12-03 00:00:00.0000000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,133,192,192
269579,2018-12-03 18:15:18.2170000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
269701,2018-12-03 18:16:40.2950000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
271029,2018-12-03 18:54:39.9050000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
271151,2018-12-03 18:56:02.1080000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
279932,2018-12-03 19:31:30.3740000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
280054,2018-12-03 19:32:51.4050000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
630919,2018-12-04 19:14:55.3430000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
631041,2018-12-04 19:16:17.9990000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
958320,2018-12-05 18:48:07.6390000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
958442,2018-12-05 18:49:28.8740000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1260007,2018-12-06 13:07:09.4630000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1260129,2018-12-06 13:08:31.4950000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1270916,2018-12-06 19:03:04.0570000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1271145,2018-12-06 19:04:26.3540000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1272816,2018-12-06 19:53:54.7290000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1272938,2018-12-06 19:55:17.3380000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1273280,2018-12-06 19:59:37.4010000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1273402,2018-12-06 20:00:59.4010000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1273809,2018-12-06 20:07:21.8540000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1273824,2018-12-06 20:08:43.7600000,DTMK_dy1pd_1bpbpzx.PV,0.0,0.0,0,192,192
1273941,2018-12-06 20:08:43.8070000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1560034,2018-12-07 16:34:32.1260000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1560156,2018-12-07 16:46:45.8910000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1560863,2018-12-07 16:58:25.7510000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1560985,2018-12-07 16:59:47.7980000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
1909271,2018-12-08 19:32:42.0300000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
1909288,2018-12-08 19:34:04.0300000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
2062571,2018-12-09 05:19:41.1450000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
2062693,2018-12-09 05:27:51.3950000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
2091240,2018-12-09 07:10:51.6610000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
2091267,2018-12-09 07:11:03.6300000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
2233002,2018-12-09 17:48:35.7860000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
2233124,2018-12-09 17:51:19.7700000,DTMK_dy1pd_1bpbpzx.PV,0.0,0.0,0,192,192
2233237,2018-12-09 17:51:23.7440000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,704,192
2233248,2018-12-09 17:51:32.7550000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
2240278,2018-12-09 18:40:00.4730000,DTMK_dy1pd_1bpbpzx.PV,,,1,24,24
2240295,2018-12-09 18:42:44.2230000,DTMK_dy1pd_1bpbpzx.PV,1.0,1.0,0,192,192
