,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
46,2018-12-03 00:00:00.0000000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,133,192,192
4686,2018-12-03 00:14:33.2060000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
7015,2018-12-03 01:18:24.2420000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,704,192
7031,2018-12-03 01:18:27.2520000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
85970,2018-12-03 05:36:29.8930000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
86917,2018-12-03 05:54:23.8510000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,704,192
86951,2018-12-03 05:54:29.8770000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
238715,2018-12-03 14:12:02.0450000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
239657,2018-12-03 14:28:44.0970000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,704,192
239693,2018-12-03 14:28:49.1240000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
263300,2018-12-03 15:46:31.5450000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
265230,2018-12-03 16:37:14.4050000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
266301,2018-12-03 16:40:45.6390000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
269500,2018-12-03 18:15:13.5350000,DTMK_dy1pd_3bpgphlfk.PV,,,1,536,24
269622,2018-12-03 18:16:34.2540000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,704,192
269746,2018-12-03 18:16:44.2490000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
270949,2018-12-03 18:54:33.8790000,DTMK_dy1pd_3bpgphlfk.PV,,,1,536,24
271071,2018-12-03 18:55:54.1600000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,704,192
271194,2018-12-03 18:56:03.9990000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
271923,2018-12-03 19:05:13.7380000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,704,192
271962,2018-12-03 19:05:20.7640000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
279938,2018-12-03 19:31:30.3740000,DTMK_dy1pd_3bpgphlfk.PV,,,1,24,24
280060,2018-12-03 19:32:51.4200000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
294479,2018-12-03 20:21:12.2330000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
297251,2018-12-03 21:41:14.0500000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,704,192
297291,2018-12-03 21:41:20.0770000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
468807,2018-12-04 07:02:11.4830000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
469814,2018-12-04 07:21:13.7070000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,704,192
469859,2018-12-04 07:21:21.7330000,DTMK_dy1pd_3bpgphlfk.PV,1.0,1.0,0,192,192
602478,2018-12-04 14:35:52.9360000,DTMK_dy1pd_3bpgphlfk.PV,0.0,0.0,0,192,192
