,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
49,2018-12-03 00:00:00.0000000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,133,192,192
6567,2018-12-03 01:16:44.1950000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
6571,2018-12-03 01:16:48.2210000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
86477,2018-12-03 05:52:43.6950000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
86485,2018-12-03 05:52:51.4090000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
239193,2018-12-03 14:27:04.0190000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
239197,2018-12-03 14:27:10.7330000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
239204,2018-12-03 14:27:11.1700000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
264778,2018-12-03 16:35:34.0820000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
264781,2018-12-03 16:35:37.1240000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
267181,2018-12-03 17:10:04.0820000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
267186,2018-12-03 17:10:10.7800000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
267210,2018-12-03 17:10:33.7220000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
267213,2018-12-03 17:10:36.7490000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
269503,2018-12-03 18:15:13.5350000,DTMK_dy1pd_3bpxtgzfw.PV,,,1,536,24
269625,2018-12-03 18:16:34.2540000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,704,192
269749,2018-12-03 18:16:44.2490000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
270817,2018-12-03 18:51:04.2170000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
270820,2018-12-03 18:51:07.2330000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
270952,2018-12-03 18:54:33.8790000,DTMK_dy1pd_3bpxtgzfw.PV,,,1,536,24
271074,2018-12-03 18:55:54.1600000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,704,192
271197,2018-12-03 18:56:03.9990000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
271493,2018-12-03 19:03:34.4570000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
271499,2018-12-03 19:03:42.5140000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
279856,2018-12-03 19:31:24.3470000,DTMK_dy1pd_3bpxtgzfw.PV,,,1,536,24
279978,2018-12-03 19:32:44.3940000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,704,192
280109,2018-12-03 19:32:54.3740000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
296820,2018-12-03 21:39:33.7380000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
296826,2018-12-03 21:39:40.7800000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
469334,2018-12-04 07:19:13.6600000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
469338,2018-12-04 07:19:17.6710000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
469339,2018-12-04 07:19:18.6710000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
469355,2018-12-04 07:19:33.6440000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
469362,2018-12-04 07:19:42.6710000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
607140,2018-12-04 17:13:13.6290000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
607146,2018-12-04 17:13:20.6710000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
608395,2018-12-04 17:55:34.0040000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
608405,2018-12-04 17:55:42.0300000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
630843,2018-12-04 19:14:54.3160000,DTMK_dy1pd_3bpxtgzfw.PV,,,1,536,24
630965,2018-12-04 19:16:13.9730000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,704,192
631111,2018-12-04 19:16:23.9680000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
641869,2018-12-04 20:13:04.1910000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
641881,2018-12-04 20:13:14.3580000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
679487,2018-12-04 22:45:53.5930000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
679491,2018-12-04 22:45:57.6200000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
679497,2018-12-04 22:45:59.6200000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
700416,2018-12-05 00:06:13.9680000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
700429,2018-12-05 00:06:22.9950000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
700431,2018-12-05 00:06:23.9480000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
748305,2018-12-05 03:02:14.4370000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
748310,2018-12-05 03:02:20.4630000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
748672,2018-12-05 03:14:43.6720000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
748678,2018-12-05 03:14:51.6980000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
922954,2018-12-05 13:39:23.6720000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
922962,2018-12-05 13:39:27.7600000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
923141,2018-12-05 13:45:23.7970000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
923155,2018-12-05 13:45:33.8070000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
925905,2018-12-05 15:05:13.5470000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
925910,2018-12-05 15:05:16.7600000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
925911,2018-12-05 15:05:17.5880000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
931145,2018-12-05 15:35:23.6130000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
931150,2018-12-05 15:35:25.6390000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
931550,2018-12-05 15:39:43.7380000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
931559,2018-12-05 15:39:51.7800000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
932001,2018-12-05 15:46:34.2380000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
932008,2018-12-05 15:46:43.2640000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,192,192
932010,2018-12-05 15:46:44.2330000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
932023,2018-12-05 15:47:04.2690000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
932030,2018-12-05 15:47:12.4990000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
932047,2018-12-05 15:47:44.4570000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
932050,2018-12-05 15:47:46.4830000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
932120,2018-12-05 15:49:33.5820000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
932130,2018-12-05 15:49:40.6080000,DTMK_dy1pd_3bpxtgzfw.PV,0.0,0.0,0,192,192
933111,2018-12-05 16:03:14.1130000,DTMK_dy1pd_3bpxtgzfw.PV,1.0,1.0,0,704,192
