,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
50,2018-12-03 00:00:00.0000000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,133,192,192
4687,2018-12-03 00:14:33.2060000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
6552,2018-12-03 01:16:34.1950000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,704,192
6561,2018-12-03 01:16:40.2210000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,192,192
85971,2018-12-03 05:36:29.8930000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
86463,2018-12-03 05:52:34.3820000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,704,192
86472,2018-12-03 05:52:43.6900000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,192,192
238716,2018-12-03 14:12:02.0450000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
239179,2018-12-03 14:26:54.0190000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,704,192
239189,2018-12-03 14:27:02.0450000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,192,192
263301,2018-12-03 15:46:31.5450000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
264763,2018-12-03 16:35:24.0820000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,704,192
264772,2018-12-03 16:35:29.1080000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,192,192
266302,2018-12-03 16:40:45.6390000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
267196,2018-12-03 17:10:23.7220000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,704,192
267203,2018-12-03 17:10:28.7490000,DTMK_dy1pd_3bpxtyx.PV,1.0,1.0,0,192,192
267602,2018-12-03 17:11:59.8270000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
269504,2018-12-03 18:15:13.5350000,DTMK_dy1pd_3bpxtyx.PV,,,1,536,24
269626,2018-12-03 18:16:34.2540000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,704,192
269750,2018-12-03 18:16:44.2490000,DTMK_dy1pd_3bpxtyx.PV,0.0,0.0,0,192,192
270953,2018-12-03 18:54:33.8790000,DTMK_dy1pd_3bpxtyx.PV,,,1,536,24
