,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
77,2018-12-03 00:00:00.0000000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,133,192,192
269523,2018-12-03 18:15:13.5350000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
269645,2018-12-03 18:16:34.2540000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
269769,2018-12-03 18:16:44.2490000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
270972,2018-12-03 18:54:33.8790000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
271094,2018-12-03 18:55:54.1600000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
271217,2018-12-03 18:56:03.9990000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
279875,2018-12-03 19:31:24.3470000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
279997,2018-12-03 19:32:44.3940000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
280130,2018-12-03 19:32:54.3740000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
630862,2018-12-04 19:14:54.3160000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
630984,2018-12-04 19:16:13.9730000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
631132,2018-12-04 19:16:23.9680000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
958263,2018-12-05 18:48:03.6130000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
958385,2018-12-05 18:49:23.8480000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
958531,2018-12-05 18:49:33.8430000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1259950,2018-12-06 13:07:03.5150000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1260072,2018-12-06 13:08:24.4680000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
1260195,2018-12-06 13:08:34.5880000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1270975,2018-12-06 19:03:04.0570000,DTMK_dy1pd_5bpbphl.PV,,,1,24,24
1271089,2018-12-06 19:04:24.3430000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
1271215,2018-12-06 19:04:34.3380000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1272760,2018-12-06 19:53:53.7030000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1272882,2018-12-06 19:55:14.2180000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
1273008,2018-12-06 19:55:24.2130000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1273224,2018-12-06 19:59:34.3750000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1273346,2018-12-06 20:00:54.3750000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
1273470,2018-12-06 20:01:04.3700000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1273753,2018-12-06 20:07:13.8120000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1273883,2018-12-06 20:08:43.7600000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1559977,2018-12-07 16:34:24.0990000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1560099,2018-12-07 16:46:43.8650000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
1560225,2018-12-07 16:46:53.8600000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1560806,2018-12-07 16:58:23.7240000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1560928,2018-12-07 16:59:43.7710000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
1561057,2018-12-07 16:59:53.7660000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
1909214,2018-12-08 19:32:34.0040000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
1909347,2018-12-08 19:34:04.0300000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
2062514,2018-12-09 05:19:34.1190000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
2062636,2018-12-09 05:27:44.3690000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
2062768,2018-12-09 05:27:54.3800000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
2091192,2018-12-09 07:10:43.6350000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
2091326,2018-12-09 07:11:03.6300000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
2232947,2018-12-09 17:48:33.7600000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
2233069,2018-12-09 17:51:13.7280000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,704,192
2233191,2018-12-09 17:51:23.7390000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
2240221,2018-12-09 18:39:54.4630000,DTMK_dy1pd_5bpbphl.PV,,,1,536,24
2240354,2018-12-09 18:42:44.2230000,DTMK_dy1pd_5bpbphl.PV,0.0,0.0,0,192,192
