,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
112,2018-12-03 00:00:00.0000000,DTMK_dy1pd_7djdl.PV,9000.0,9000.0,133,192,192
252,2018-12-03 00:00:21.3770000,DTMK_dy1pd_7djdl.PV,8896.0,8896.0,0,192,192
259,2018-12-03 00:00:22.6270000,DTMK_dy1pd_7djdl.PV,9000.0,9000.0,0,192,192
268,2018-12-03 00:00:23.9240000,DTMK_dy1pd_7djdl.PV,8427.0,8427.0,0,192,192
279,2018-12-03 00:00:26.5490000,DTMK_dy1pd_7djdl.PV,7958.0,7958.0,0,192,192
287,2018-12-03 00:00:27.8150000,DTMK_dy1pd_7djdl.PV,7490.0,7490.0,0,192,192
294,2018-12-03 00:00:29.1270000,DTMK_dy1pd_7djdl.PV,7646.0,7646.0,0,192,192
301,2018-12-03 00:00:30.4240000,DTMK_dy1pd_7djdl.PV,7490.0,7490.0,0,192,192
309,2018-12-03 00:00:31.7210000,DTMK_dy1pd_7djdl.PV,7021.0,7021.0,0,192,192
316,2018-12-03 00:00:33.9090000,DTMK_dy1pd_7djdl.PV,7646.0,7646.0,0,192,192
323,2018-12-03 00:00:34.3150000,DTMK_dy1pd_7djdl.PV,6865.0,6865.0,0,192,192
332,2018-12-03 00:00:35.6120000,DTMK_dy1pd_7djdl.PV,7229.0,7229.0,0,192,192
338,2018-12-03 00:00:36.9240000,DTMK_dy1pd_7djdl.PV,6760.0,6760.0,0,192,192
345,2018-12-03 00:00:38.2210000,DTMK_dy1pd_7djdl.PV,6865.0,6865.0,0,192,192
354,2018-12-03 00:00:39.5180000,DTMK_dy1pd_7djdl.PV,6760.0,6760.0,0,192,192
360,2018-12-03 00:00:40.8150000,DTMK_dy1pd_7djdl.PV,7021.0,7021.0,0,192,192
367,2018-12-03 00:00:42.1120000,DTMK_dy1pd_7djdl.PV,7229.0,7229.0,0,192,192
376,2018-12-03 00:00:43.9240000,DTMK_dy1pd_7djdl.PV,6865.0,6865.0,0,192,192
388,2018-12-03 00:00:46.0180000,DTMK_dy1pd_7djdl.PV,7021.0,7021.0,0,192,192
405,2018-12-03 00:00:48.6120000,DTMK_dy1pd_7djdl.PV,6760.0,6760.0,0,192,192
412,2018-12-03 00:00:49.9710000,DTMK_dy1pd_7djdl.PV,6396.0,6396.0,0,192,192
422,2018-12-03 00:00:51.2210000,DTMK_dy1pd_7djdl.PV,6865.0,6865.0,0,192,192
