,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
127,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jtzs.PV,0.0,0.0,133,192,192
269557,2018-12-03 18:15:13.5350000,DTMK_dy1pd_jtzs.PV,,,1,536,24
269679,2018-12-03 18:16:34.2540000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
269803,2018-12-03 18:16:44.2490000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
271007,2018-12-03 18:54:33.8790000,DTMK_dy1pd_jtzs.PV,,,1,536,24
271129,2018-12-03 18:55:54.1600000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
271252,2018-12-03 18:56:03.9990000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
279911,2018-12-03 19:31:24.3470000,DTMK_dy1pd_jtzs.PV,,,1,536,24
280033,2018-12-03 19:32:44.3940000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
280168,2018-12-03 19:32:54.3740000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
630898,2018-12-04 19:14:54.3160000,DTMK_dy1pd_jtzs.PV,,,1,536,24
631020,2018-12-04 19:16:13.9730000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
631168,2018-12-04 19:16:23.9680000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
958299,2018-12-05 18:48:03.6130000,DTMK_dy1pd_jtzs.PV,,,1,536,24
958421,2018-12-05 18:49:23.8480000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
958569,2018-12-05 18:49:33.8430000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1259985,2018-12-06 13:07:03.5150000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1260107,2018-12-06 13:08:24.4680000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
1260230,2018-12-06 13:08:34.5880000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1271015,2018-12-06 19:03:04.0570000,DTMK_dy1pd_jtzs.PV,,,1,24,24
1271123,2018-12-06 19:04:24.3430000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
1271249,2018-12-06 19:04:34.3380000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1272794,2018-12-06 19:53:53.7030000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1272916,2018-12-06 19:55:14.2180000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
1273042,2018-12-06 19:55:24.2130000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1273258,2018-12-06 19:59:34.3750000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1273380,2018-12-06 20:00:54.3750000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
1273504,2018-12-06 20:01:04.3700000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1273787,2018-12-06 20:07:13.8120000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1273923,2018-12-06 20:08:43.7600000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1560013,2018-12-07 16:34:24.0990000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1560135,2018-12-07 16:46:43.8650000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
1560261,2018-12-07 16:46:53.8600000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1560842,2018-12-07 16:58:23.7240000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1560964,2018-12-07 16:59:43.7710000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
1561092,2018-12-07 16:59:53.7660000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1896215,2018-12-08 18:45:34.4250000,DTMK_dy1pd_jtzs.PV,1.0,1.0,0,704,192
1896218,2018-12-08 18:45:39.4360000,DTMK_dy1pd_jtzs.PV,1.0,1.0,0,192,192
1896224,2018-12-08 18:45:45.4360000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
1909250,2018-12-08 19:32:34.0040000,DTMK_dy1pd_jtzs.PV,,,1,536,24
1909387,2018-12-08 19:34:04.0300000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
2062550,2018-12-09 05:19:34.1190000,DTMK_dy1pd_jtzs.PV,,,1,536,24
2062672,2018-12-09 05:27:44.3690000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,704,192
2062806,2018-12-09 05:27:54.3800000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
2091228,2018-12-09 07:10:43.6350000,DTMK_dy1pd_jtzs.PV,,,1,536,24
2091366,2018-12-09 07:11:03.6300000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
2232868,2018-12-09 17:47:33.5880000,DTMK_dy1pd_jtzs.PV,1.0,1.0,0,704,192
2232871,2018-12-09 17:47:37.0830000,DTMK_dy1pd_jtzs.PV,1.0,1.0,0,192,192
2233009,2018-12-09 17:48:35.7860000,DTMK_dy1pd_jtzs.PV,,,1,24,24
2233131,2018-12-09 17:51:19.7700000,DTMK_dy1pd_jtzs.PV,1.0,1.0,0,192,192
2233247,2018-12-09 17:51:31.7550000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
2240257,2018-12-09 18:39:54.4630000,DTMK_dy1pd_jtzs.PV,,,1,536,24
2240394,2018-12-09 18:42:44.2230000,DTMK_dy1pd_jtzs.PV,0.0,0.0,0,192,192
