,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
128,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,133,192,192
269586,2018-12-03 18:15:18.2170000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
269708,2018-12-03 18:16:40.3110000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
271034,2018-12-03 18:54:39.9050000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
271156,2018-12-03 18:56:02.1240000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
279940,2018-12-03 19:31:30.3740000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
280062,2018-12-03 19:32:51.4200000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
630926,2018-12-04 19:14:55.3430000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
631048,2018-12-04 19:16:17.9990000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
931560,2018-12-05 15:39:51.7800000,DTMK_dy1pd_jwkzzzc.PV,0.0,0.0,0,192,192
931561,2018-12-05 15:39:51.7800000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
958328,2018-12-05 18:48:07.6390000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
958450,2018-12-05 18:49:28.8740000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1260013,2018-12-06 13:07:09.4790000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1260135,2018-12-06 13:08:31.5100000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1271016,2018-12-06 19:03:04.0570000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1271151,2018-12-06 19:04:26.3700000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1272822,2018-12-06 19:53:54.7450000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1272944,2018-12-06 19:55:17.3540000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1273286,2018-12-06 19:59:37.4010000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1273409,2018-12-06 20:00:59.4010000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1273815,2018-12-06 20:07:21.8700000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1273924,2018-12-06 20:08:43.7600000,DTMK_dy1pd_jwkzzzc.PV,0.0,0.0,0,192,192
1273946,2018-12-06 20:08:43.8230000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1560040,2018-12-07 16:34:32.1260000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1560162,2018-12-07 16:46:45.8910000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1560874,2018-12-07 16:58:25.7510000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1560997,2018-12-07 16:59:47.7980000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
1909278,2018-12-08 19:32:42.0300000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
1909388,2018-12-08 19:34:04.0300000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
2062579,2018-12-09 05:19:41.1450000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
2062701,2018-12-09 05:27:51.3950000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
2091256,2018-12-09 07:10:51.6610000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
2091367,2018-12-09 07:11:03.6300000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
2233010,2018-12-09 17:48:35.7860000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
2233132,2018-12-09 17:51:19.7700000,DTMK_dy1pd_jwkzzzc.PV,0.0,0.0,0,192,192
2233241,2018-12-09 17:51:23.7440000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,704,192
2233252,2018-12-09 17:51:32.7550000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
2240285,2018-12-09 18:40:00.4730000,DTMK_dy1pd_jwkzzzc.PV,,,1,24,24
2240395,2018-12-09 18:42:44.2230000,DTMK_dy1pd_jwkzzzc.PV,1.0,1.0,0,192,192
