,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
133,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jwzs.PV,0.0,0.0,133,192,192
263723,2018-12-03 16:00:14.2220000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
263728,2018-12-03 16:00:18.2490000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
264753,2018-12-03 16:35:11.5140000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
269561,2018-12-03 18:15:13.5350000,DTMK_dy1pd_jwzs.PV,,,1,536,24
269683,2018-12-03 18:16:34.2540000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
269807,2018-12-03 18:16:44.2490000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
271011,2018-12-03 18:54:33.8790000,DTMK_dy1pd_jwzs.PV,,,1,536,24
271133,2018-12-03 18:55:54.1600000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
271256,2018-12-03 18:56:03.9990000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
279915,2018-12-03 19:31:24.3470000,DTMK_dy1pd_jwzs.PV,,,1,536,24
280037,2018-12-03 19:32:44.3940000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
280172,2018-12-03 19:32:54.3740000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
630902,2018-12-04 19:14:54.3160000,DTMK_dy1pd_jwzs.PV,,,1,536,24
631024,2018-12-04 19:16:13.9730000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
631172,2018-12-04 19:16:23.9680000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
922751,2018-12-05 13:34:34.2810000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
922795,2018-12-05 13:34:43.3070000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
922958,2018-12-05 13:39:26.6980000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
922959,2018-12-05 13:39:26.6980000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
923128,2018-12-05 13:44:59.4630000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
933643,2018-12-05 16:09:13.8010000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
933654,2018-12-05 16:09:23.7960000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
933659,2018-12-05 16:09:30.8270000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
933667,2018-12-05 16:09:43.8010000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
933671,2018-12-05 16:09:45.8270000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
933761,2018-12-05 16:12:32.1860000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
934254,2018-12-05 16:17:13.7540000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
934257,2018-12-05 16:17:15.7800000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
934446,2018-12-05 16:23:22.6390000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
958303,2018-12-05 18:48:03.6130000,DTMK_dy1pd_jwzs.PV,,,1,536,24
958425,2018-12-05 18:49:23.8480000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
958573,2018-12-05 18:49:33.8430000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1259989,2018-12-06 13:07:03.5150000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1260111,2018-12-06 13:08:24.4680000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
1260234,2018-12-06 13:08:34.5880000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1271020,2018-12-06 19:03:04.0570000,DTMK_dy1pd_jwzs.PV,,,1,24,24
1271127,2018-12-06 19:04:24.3430000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
1271253,2018-12-06 19:04:34.3380000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1272798,2018-12-06 19:53:53.7030000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1272920,2018-12-06 19:55:14.2180000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
1273046,2018-12-06 19:55:24.2130000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1273262,2018-12-06 19:59:34.3750000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1273384,2018-12-06 20:00:54.3750000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
1273508,2018-12-06 20:01:04.3700000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1273791,2018-12-06 20:07:13.8120000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1273928,2018-12-06 20:08:43.7600000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1560016,2018-12-07 16:34:24.0990000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1560138,2018-12-07 16:46:43.8650000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
1560264,2018-12-07 16:46:53.8600000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1560846,2018-12-07 16:58:23.7240000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1560968,2018-12-07 16:59:43.7710000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
1561096,2018-12-07 16:59:53.7660000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1890912,2018-12-08 15:50:33.6170000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
1890919,2018-12-08 15:50:43.6120000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
1891009,2018-12-08 15:53:37.9090000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1895165,2018-12-08 18:09:54.0190000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
1895169,2018-12-08 18:09:59.0450000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
1895498,2018-12-08 18:21:08.0920000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
1909254,2018-12-08 19:32:34.0040000,DTMK_dy1pd_jwzs.PV,,,1,536,24
1909392,2018-12-08 19:34:04.0300000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
2062554,2018-12-09 05:19:34.1190000,DTMK_dy1pd_jwzs.PV,,,1,536,24
2062676,2018-12-09 05:27:44.3690000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
2062810,2018-12-09 05:27:54.3800000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
2091232,2018-12-09 07:10:43.6350000,DTMK_dy1pd_jwzs.PV,,,1,536,24
2091371,2018-12-09 07:11:03.6300000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
2228606,2018-12-09 15:35:54.3060000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,704,192
2228612,2018-12-09 15:36:00.3330000,DTMK_dy1pd_jwzs.PV,1.0,1.0,0,192,192
2230334,2018-12-09 16:34:54.1610000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
2232984,2018-12-09 17:48:33.7600000,DTMK_dy1pd_jwzs.PV,,,1,536,24
2233106,2018-12-09 17:51:13.7280000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,704,192
2233228,2018-12-09 17:51:23.7390000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
2240261,2018-12-09 18:39:54.4630000,DTMK_dy1pd_jwzs.PV,,,1,536,24
2240399,2018-12-09 18:42:44.2230000,DTMK_dy1pd_jwzs.PV,0.0,0.0,0,192,192
