,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
135,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jzwd.PV,0.0,0.0,133,192,192
269563,2018-12-03 18:15:13.5350000,DTMK_dy1pd_jzwd.PV,,,1,536,24
269685,2018-12-03 18:16:34.2540000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
269809,2018-12-03 18:16:44.2490000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
271013,2018-12-03 18:54:33.8790000,DTMK_dy1pd_jzwd.PV,,,1,536,24
271135,2018-12-03 18:55:54.1600000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
271258,2018-12-03 18:56:03.9990000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
279917,2018-12-03 19:31:24.3470000,DTMK_dy1pd_jzwd.PV,,,1,536,24
280039,2018-12-03 19:32:44.3940000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
280174,2018-12-03 19:32:54.3740000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
630904,2018-12-04 19:14:54.3160000,DTMK_dy1pd_jzwd.PV,,,1,536,24
631026,2018-12-04 19:16:13.9730000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
631174,2018-12-04 19:16:23.9680000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
958305,2018-12-05 18:48:03.6130000,DTMK_dy1pd_jzwd.PV,,,1,536,24
958427,2018-12-05 18:49:23.8480000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
958575,2018-12-05 18:49:33.8430000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1259991,2018-12-06 13:07:03.5150000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1260113,2018-12-06 13:08:24.4680000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
1260236,2018-12-06 13:08:34.5880000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1271022,2018-12-06 19:03:04.0570000,DTMK_dy1pd_jzwd.PV,,,1,24,24
1271129,2018-12-06 19:04:24.3430000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
1271255,2018-12-06 19:04:34.3380000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1272800,2018-12-06 19:53:53.7030000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1272922,2018-12-06 19:55:14.2180000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
1273048,2018-12-06 19:55:24.2130000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1273264,2018-12-06 19:59:34.3750000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1273386,2018-12-06 20:00:54.3750000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
1273510,2018-12-06 20:01:04.3700000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1273793,2018-12-06 20:07:13.8120000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1273930,2018-12-06 20:08:43.7600000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1560018,2018-12-07 16:34:24.0990000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1560140,2018-12-07 16:46:43.8650000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
1560266,2018-12-07 16:46:53.8600000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1560848,2018-12-07 16:58:23.7240000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1560970,2018-12-07 16:59:43.7710000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
1561098,2018-12-07 16:59:53.7660000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
1909256,2018-12-08 19:32:34.0040000,DTMK_dy1pd_jzwd.PV,,,1,536,24
1909394,2018-12-08 19:34:04.0300000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
2062556,2018-12-09 05:19:34.1190000,DTMK_dy1pd_jzwd.PV,,,1,536,24
2062678,2018-12-09 05:27:44.3690000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
2062812,2018-12-09 05:27:54.3800000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
2091234,2018-12-09 07:10:43.6350000,DTMK_dy1pd_jzwd.PV,,,1,536,24
2091373,2018-12-09 07:11:03.6300000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
2232986,2018-12-09 17:48:33.7600000,DTMK_dy1pd_jzwd.PV,,,1,536,24
2233108,2018-12-09 17:51:13.7280000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,704,192
2233230,2018-12-09 17:51:23.7390000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
2240263,2018-12-09 18:39:54.4630000,DTMK_dy1pd_jzwd.PV,,,1,536,24
2240401,2018-12-09 18:42:44.2230000,DTMK_dy1pd_jzwd.PV,0.0,0.0,0,192,192
