,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
150,2018-12-03 00:00:00.0000000,DTMK_dy1pd_yx.PV,1.0,1.0,133,192,192
4688,2018-12-03 00:14:33.2060000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
6553,2018-12-03 01:16:34.1950000,DTMK_dy1pd_yx.PV,1.0,1.0,0,704,192
6562,2018-12-03 01:16:40.2210000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
85972,2018-12-03 05:36:29.9090000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
86464,2018-12-03 05:52:34.3820000,DTMK_dy1pd_yx.PV,1.0,1.0,0,704,192
86473,2018-12-03 05:52:43.6900000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
238704,2018-12-03 14:12:00.0300000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
239180,2018-12-03 14:26:54.0190000,DTMK_dy1pd_yx.PV,1.0,1.0,0,704,192
239190,2018-12-03 14:27:02.0610000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
263302,2018-12-03 15:46:31.5610000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
264764,2018-12-03 16:35:24.0820000,DTMK_dy1pd_yx.PV,1.0,1.0,0,704,192
264773,2018-12-03 16:35:29.1080000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
266303,2018-12-03 16:40:45.6550000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
267197,2018-12-03 17:10:23.7220000,DTMK_dy1pd_yx.PV,1.0,1.0,0,704,192
267204,2018-12-03 17:10:28.7490000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
267603,2018-12-03 17:11:59.8270000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
269569,2018-12-03 18:15:13.5350000,DTMK_dy1pd_yx.PV,,,1,536,24
269691,2018-12-03 18:16:34.2540000,DTMK_dy1pd_yx.PV,0.0,0.0,0,704,192
269815,2018-12-03 18:16:44.2490000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
271019,2018-12-03 18:54:33.8790000,DTMK_dy1pd_yx.PV,,,1,536,24
271141,2018-12-03 18:55:54.1600000,DTMK_dy1pd_yx.PV,0.0,0.0,0,704,192
271264,2018-12-03 18:56:03.9990000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
271480,2018-12-03 19:03:24.4570000,DTMK_dy1pd_yx.PV,1.0,1.0,0,704,192
271490,2018-12-03 19:03:34.4520000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
279942,2018-12-03 19:31:30.3890000,DTMK_dy1pd_yx.PV,,,1,24,24
280064,2018-12-03 19:32:51.4200000,DTMK_dy1pd_yx.PV,1.0,1.0,0,192,192
294481,2018-12-03 20:21:12.2330000,DTMK_dy1pd_yx.PV,0.0,0.0,0,192,192
