,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
3,2018-12-03 00:00:00.0000000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,133,192,192
269470,2018-12-03 18:15:13.5350000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
269592,2018-12-03 18:16:34.2540000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
269715,2018-12-03 18:16:44.2490000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
270918,2018-12-03 18:54:33.8790000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
271040,2018-12-03 18:55:54.1600000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
271163,2018-12-03 18:56:03.9990000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
279825,2018-12-03 19:31:24.3470000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
279947,2018-12-03 19:32:44.3940000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
280075,2018-12-03 19:32:54.3740000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
630811,2018-12-04 19:14:54.3160000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
630933,2018-12-04 19:16:13.9730000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
631077,2018-12-04 19:16:23.9680000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
958213,2018-12-05 18:48:03.6130000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
958335,2018-12-05 18:49:23.8480000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
958476,2018-12-05 18:49:33.8430000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1259897,2018-12-06 13:07:03.5150000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1260019,2018-12-06 13:08:24.4680000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
1260142,2018-12-06 13:08:34.5880000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1270913,2018-12-06 19:03:04.0570000,DTMK_dy1pd_1bpbphl.PV,,,1,24,24
1271035,2018-12-06 19:04:24.3430000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
1271160,2018-12-06 19:04:34.3380000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1271396,2018-12-06 19:09:13.6870000,DTMK_dy1pd_1bpbphl.PV,1.0,1.0,0,704,192
1271404,2018-12-06 19:09:17.7130000,DTMK_dy1pd_1bpbphl.PV,1.0,1.0,0,192,192
1271451,2018-12-06 19:10:44.8540000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1272706,2018-12-06 19:53:53.7030000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1272828,2018-12-06 19:55:14.2180000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
1272954,2018-12-06 19:55:24.2130000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1273170,2018-12-06 19:59:34.3750000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1273292,2018-12-06 20:00:54.3750000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
1273416,2018-12-06 20:01:04.3700000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1273699,2018-12-06 20:07:13.8120000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1273821,2018-12-06 20:08:43.7600000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1559925,2018-12-07 16:34:24.0990000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1560047,2018-12-07 16:46:43.8650000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
1560172,2018-12-07 16:46:53.8600000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1560759,2018-12-07 16:58:23.7240000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1560881,2018-12-07 16:59:43.7710000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
1561009,2018-12-07 16:59:53.7660000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
1909163,2018-12-08 19:32:34.0040000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
1909285,2018-12-08 19:34:04.0300000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
2062464,2018-12-09 05:19:34.1190000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
2062586,2018-12-09 05:27:44.3690000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
2062718,2018-12-09 05:27:54.3800000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
2091142,2018-12-09 07:10:43.6350000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
2091264,2018-12-09 07:11:03.6300000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
2232894,2018-12-09 17:48:33.7600000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
2233016,2018-12-09 17:51:13.7280000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,704,192
2233138,2018-12-09 17:51:23.7390000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
2240170,2018-12-09 18:39:54.4630000,DTMK_dy1pd_1bpbphl.PV,,,1,536,24
2240292,2018-12-09 18:42:44.2230000,DTMK_dy1pd_1bpbphl.PV,0.0,0.0,0,192,192
