,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
9,2018-12-03 00:00:00.0000000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,133,192,192
263722,2018-12-03 16:00:14.2220000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,704,192
263725,2018-12-03 16:00:18.2490000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,192,192
264749,2018-12-03 16:35:11.3580000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
269474,2018-12-03 18:15:13.5350000,DTMK_dy1pd_1bpgpgz.PV,,,1,536,24
269596,2018-12-03 18:16:34.2540000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,704,192
269719,2018-12-03 18:16:44.2490000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
270922,2018-12-03 18:54:33.8790000,DTMK_dy1pd_1bpgpgz.PV,,,1,536,24
271044,2018-12-03 18:55:54.1600000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,704,192
271167,2018-12-03 18:56:03.9990000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
279829,2018-12-03 19:31:24.3470000,DTMK_dy1pd_1bpgpgz.PV,,,1,536,24
279951,2018-12-03 19:32:44.3940000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,704,192
280079,2018-12-03 19:32:54.3740000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
630815,2018-12-04 19:14:54.3160000,DTMK_dy1pd_1bpgpgz.PV,,,1,536,24
630937,2018-12-04 19:16:13.9730000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,704,192
631081,2018-12-04 19:16:23.9680000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
922750,2018-12-05 13:34:34.2810000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,704,192
922794,2018-12-05 13:34:43.3070000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,192,192
922956,2018-12-05 13:39:26.6980000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
922957,2018-12-05 13:39:26.6980000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,192,192
923125,2018-12-05 13:44:59.4630000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
933640,2018-12-05 16:09:13.8010000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,704,192
933652,2018-12-05 16:09:23.7960000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,192,192
933658,2018-12-05 16:09:30.8270000,DTMK_dy1pd_1bpgpgz.PV,0.0,0.0,0,192,192
933666,2018-12-05 16:09:43.8010000,DTMK_dy1pd_1bpgpgz.PV,1.0,1.0,0,704,192
