,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
42,2018-12-03 00:00:00.0000000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,133,192,192
269583,2018-12-03 18:15:18.2170000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
269705,2018-12-03 18:16:40.2950000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
271032,2018-12-03 18:54:39.9050000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
271154,2018-12-03 18:56:02.1080000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
279937,2018-12-03 19:31:30.3740000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
280059,2018-12-03 19:32:51.4200000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
630923,2018-12-04 19:14:55.3430000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
631045,2018-12-04 19:16:17.9990000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
923552,2018-12-05 13:46:56.8380000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,192,192
925865,2018-12-05 15:04:23.5470000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,704,192
925868,2018-12-05 15:04:26.5420000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
958325,2018-12-05 18:48:07.6390000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
958447,2018-12-05 18:49:28.8740000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
1260011,2018-12-06 13:07:09.4630000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
1260133,2018-12-06 13:08:31.5100000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
1260978,2018-12-06 13:21:14.0420000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,192,192
1270946,2018-12-06 19:03:04.0570000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
1271062,2018-12-06 19:04:24.3430000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,704,192
1271188,2018-12-06 19:04:34.3380000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,192,192
1272733,2018-12-06 19:53:53.7030000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,536,24
1272855,2018-12-06 19:55:14.2180000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,704,192
1272981,2018-12-06 19:55:24.2130000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,192,192
1273197,2018-12-06 19:59:34.3750000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,536,24
1273319,2018-12-06 20:00:54.3750000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,704,192
1273443,2018-12-06 20:01:04.3700000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,192,192
1273726,2018-12-06 20:07:13.8120000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,536,24
1273854,2018-12-06 20:08:43.7600000,DTMK_dy1pd_3bpbpzgpyx.PV,0.0,0.0,0,192,192
1274206,2018-12-06 20:17:44.1560000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,704,192
1274214,2018-12-06 20:17:53.1820000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
1560039,2018-12-07 16:34:32.1260000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
1560161,2018-12-07 16:46:45.8910000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
1560870,2018-12-07 16:58:25.7510000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
1560993,2018-12-07 16:59:47.7980000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
1909275,2018-12-08 19:32:42.0300000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
1909318,2018-12-08 19:34:04.0300000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
2062576,2018-12-09 05:19:41.1450000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
2062698,2018-12-09 05:27:51.3950000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
2091247,2018-12-09 07:10:51.6610000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
2091297,2018-12-09 07:11:03.6300000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
2233006,2018-12-09 17:48:35.7860000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
2233128,2018-12-09 17:51:19.7700000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
2240282,2018-12-09 18:40:00.4730000,DTMK_dy1pd_3bpbpzgpyx.PV,,,1,24,24
2240325,2018-12-09 18:42:44.2230000,DTMK_dy1pd_3bpbpzgpyx.PV,1.0,1.0,0,192,192
