,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
43,2018-12-03 00:00:00.0000000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,133,192,192
6566,2018-12-03 01:16:44.1950000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
6579,2018-12-03 01:16:50.2210000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
7009,2018-12-03 01:18:24.2370000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
86476,2018-12-03 05:52:43.6950000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
86493,2018-12-03 05:52:52.4090000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
86932,2018-12-03 05:54:26.8770000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
239192,2018-12-03 14:27:04.0190000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
239206,2018-12-03 14:27:12.1390000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
239667,2018-12-03 14:28:45.1240000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
264777,2018-12-03 16:35:34.0820000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
264791,2018-12-03 16:35:39.1240000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
265226,2018-12-03 16:37:13.4670000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
267209,2018-12-03 17:10:33.7220000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
267223,2018-12-03 17:10:37.7490000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
267601,2018-12-03 17:11:59.8270000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
269497,2018-12-03 18:15:13.5350000,DTMK_dy1pd_3bpbpzx.PV,,,1,536,24
269619,2018-12-03 18:16:34.2540000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,704,192
269743,2018-12-03 18:16:44.2490000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
270946,2018-12-03 18:54:33.8790000,DTMK_dy1pd_3bpbpzx.PV,,,1,536,24
271068,2018-12-03 18:55:54.1600000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,704,192
271191,2018-12-03 18:56:03.9990000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
271492,2018-12-03 19:03:34.4570000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
271508,2018-12-03 19:03:44.5770000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
271946,2018-12-03 19:05:18.7640000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
279851,2018-12-03 19:31:24.3470000,DTMK_dy1pd_3bpbpzx.PV,,,1,536,24
279973,2018-12-03 19:32:44.3940000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,704,192
280104,2018-12-03 19:32:54.3740000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
296819,2018-12-03 21:39:33.7380000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
296837,2018-12-03 21:39:43.7490000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
297275,2018-12-03 21:41:17.1550000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
469354,2018-12-04 07:19:33.6440000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
469364,2018-12-04 07:19:43.6390000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
469835,2018-12-04 07:21:17.7640000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
608394,2018-12-04 17:55:34.0040000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
608407,2018-12-04 17:55:43.0300000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
608842,2018-12-04 17:57:17.1550000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
630838,2018-12-04 19:14:54.3160000,DTMK_dy1pd_3bpbpzx.PV,,,1,536,24
630960,2018-12-04 19:16:13.9730000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,704,192
631106,2018-12-04 19:16:23.9680000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
641883,2018-12-04 20:13:14.3630000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
641899,2018-12-04 20:13:16.4050000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
642344,2018-12-04 20:14:50.4830000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
679486,2018-12-04 22:45:53.5930000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
679506,2018-12-04 22:46:00.6200000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
679933,2018-12-04 22:47:33.8540000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
700433,2018-12-05 00:06:23.9530000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
700449,2018-12-05 00:06:25.9790000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
700904,2018-12-05 00:08:00.2130000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
748671,2018-12-05 03:14:43.6720000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
748686,2018-12-05 03:14:53.6670000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
749130,2018-12-05 03:16:28.0260000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
923157,2018-12-05 13:45:33.8120000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
923172,2018-12-05 13:45:36.8230000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
923553,2018-12-05 13:46:56.8380000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
925904,2018-12-05 15:05:13.5470000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
925918,2018-12-05 15:05:18.5880000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
926357,2018-12-05 15:06:52.5880000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
931144,2018-12-05 15:35:23.6130000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
931157,2018-12-05 15:35:26.6390000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
931399,2018-12-05 15:36:14.8430000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
931549,2018-12-05 15:39:43.7380000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
931569,2018-12-05 15:39:52.7800000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
931803,2018-12-05 15:40:43.8740000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
932119,2018-12-05 15:49:33.5820000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
932138,2018-12-05 15:49:41.5930000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
932574,2018-12-05 15:51:15.7180000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
933128,2018-12-05 16:03:24.1130000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
933143,2018-12-05 16:03:26.1550000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
933474,2018-12-05 16:04:36.2180000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
933784,2018-12-05 16:12:54.1600000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
933806,2018-12-05 16:13:02.2180000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
934135,2018-12-05 16:14:15.0770000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
934480,2018-12-05 16:24:03.7020000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
934652,2018-12-05 16:24:40.6860000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
934886,2018-12-05 16:31:13.7850000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,704,192
934901,2018-12-05 16:31:22.8110000,DTMK_dy1pd_3bpbpzx.PV,1.0,1.0,0,192,192
935142,2018-12-05 16:32:12.8270000,DTMK_dy1pd_3bpbpzx.PV,0.0,0.0,0,192,192
