,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
48,2018-12-03 00:00:00.0000000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,133,192,192
269502,2018-12-03 18:15:13.5350000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
269624,2018-12-03 18:16:34.2540000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
269748,2018-12-03 18:16:44.2490000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
270951,2018-12-03 18:54:33.8790000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
271073,2018-12-03 18:55:54.1600000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
271196,2018-12-03 18:56:03.9990000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
279855,2018-12-03 19:31:24.3470000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
279977,2018-12-03 19:32:44.3940000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
280108,2018-12-03 19:32:54.3740000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
630842,2018-12-04 19:14:54.3160000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
630964,2018-12-04 19:16:13.9730000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
631110,2018-12-04 19:16:23.9680000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
958243,2018-12-05 18:48:03.6130000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
958365,2018-12-05 18:49:23.8480000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
958509,2018-12-05 18:49:33.8430000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1259929,2018-12-06 13:07:03.5150000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1260051,2018-12-06 13:08:24.4680000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
1260174,2018-12-06 13:08:34.5880000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1270952,2018-12-06 19:03:04.0570000,DTMK_dy1pd_3bpjdyx.PV,,,1,24,24
1271068,2018-12-06 19:04:24.3430000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
1271194,2018-12-06 19:04:34.3380000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1272739,2018-12-06 19:53:53.7030000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1272861,2018-12-06 19:55:14.2180000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
1272987,2018-12-06 19:55:24.2130000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1273203,2018-12-06 19:59:34.3750000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1273325,2018-12-06 20:00:54.3750000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
1273449,2018-12-06 20:01:04.3700000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1273732,2018-12-06 20:07:13.8120000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1273860,2018-12-06 20:08:43.7600000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1559956,2018-12-07 16:34:24.0990000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1560078,2018-12-07 16:46:43.8650000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
1560204,2018-12-07 16:46:53.8600000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1560786,2018-12-07 16:58:23.7240000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1560908,2018-12-07 16:59:43.7710000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
1561037,2018-12-07 16:59:53.7660000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
1909194,2018-12-08 19:32:34.0040000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
1909324,2018-12-08 19:34:04.0300000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
2062494,2018-12-09 05:19:34.1190000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
2062616,2018-12-09 05:27:44.3690000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
2062746,2018-12-09 05:27:54.3800000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
2091172,2018-12-09 07:10:43.6350000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
2091303,2018-12-09 07:11:03.6300000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
2232926,2018-12-09 17:48:33.7600000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
2233048,2018-12-09 17:51:13.7280000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,704,192
2233170,2018-12-09 17:51:23.7390000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
2240201,2018-12-09 18:39:54.4630000,DTMK_dy1pd_3bpjdyx.PV,,,1,536,24
2240331,2018-12-09 18:42:44.2230000,DTMK_dy1pd_3bpjdyx.PV,0.0,0.0,0,192,192
