,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
120,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jtjq.PV,0.0,0.0,133,192,192
266987,2018-12-03 17:03:23.5500000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
266992,2018-12-03 17:03:33.5450000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
267182,2018-12-03 17:10:08.7950000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
267613,2018-12-03 17:12:03.8000000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
267618,2018-12-03 17:12:10.7490000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
269584,2018-12-03 18:15:18.2170000,DTMK_dy1pd_jtjq.PV,,,1,24,24
269706,2018-12-03 18:16:40.2950000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
271033,2018-12-03 18:54:39.9050000,DTMK_dy1pd_jtjq.PV,,,1,24,24
271155,2018-12-03 18:56:02.1240000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
271466,2018-12-03 19:03:01.0300000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
279905,2018-12-03 19:31:24.3470000,DTMK_dy1pd_jtjq.PV,,,1,536,24
280027,2018-12-03 19:32:44.3940000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,704,192
280162,2018-12-03 19:32:54.3740000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
602543,2018-12-04 14:37:24.0820000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
602548,2018-12-04 14:37:28.1390000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
608108,2018-12-04 17:46:06.5770000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
630892,2018-12-04 19:14:54.3160000,DTMK_dy1pd_jtjq.PV,,,1,536,24
631014,2018-12-04 19:16:13.9730000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,704,192
631162,2018-12-04 19:16:23.9680000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
925760,2018-12-05 15:00:54.3120000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
925766,2018-12-05 15:01:03.3380000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
925768,2018-12-05 15:01:08.4170000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
930648,2018-12-05 15:23:23.5310000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
930652,2018-12-05 15:23:30.5720000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
931104,2018-12-05 15:34:46.6550000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
931387,2018-12-05 15:36:13.6440000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
931416,2018-12-05 15:36:22.6710000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
931525,2018-12-05 15:39:24.7800000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
931811,2018-12-05 15:40:43.8790000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
931825,2018-12-05 15:40:49.9050000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
932006,2018-12-05 15:46:42.2640000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
932777,2018-12-05 15:52:14.1760000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
932782,2018-12-05 15:52:22.2020000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
933098,2018-12-05 16:02:56.2020000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
933496,2018-12-05 16:04:44.1290000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
933507,2018-12-05 16:04:53.1550000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
933646,2018-12-05 16:09:15.9680000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
934157,2018-12-05 16:14:24.0300000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
934443,2018-12-05 16:23:20.6390000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
935724,2018-12-05 16:38:24.3790000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
935772,2018-12-05 16:38:33.4050000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
937088,2018-12-05 17:22:23.7330000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
937114,2018-12-05 17:23:13.8790000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
937118,2018-12-05 17:23:18.0140000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
937174,2018-12-05 17:25:07.7490000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
958293,2018-12-05 18:48:03.6130000,DTMK_dy1pd_jtjq.PV,,,1,536,24
958415,2018-12-05 18:49:23.8480000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,704,192
958563,2018-12-05 18:49:33.8430000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1259980,2018-12-06 13:07:03.5150000,DTMK_dy1pd_jtjq.PV,,,1,536,24
1260102,2018-12-06 13:08:24.4680000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,704,192
1260225,2018-12-06 13:08:34.5880000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1260870,2018-12-06 13:17:43.5150000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
1260875,2018-12-06 13:17:51.5420000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1271009,2018-12-06 19:03:04.0570000,DTMK_dy1pd_jtjq.PV,,,1,24,24
1271149,2018-12-06 19:04:26.3700000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1272820,2018-12-06 19:53:54.7450000,DTMK_dy1pd_jtjq.PV,,,1,24,24
1272942,2018-12-06 19:55:17.3540000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1273284,2018-12-06 19:59:37.4010000,DTMK_dy1pd_jtjq.PV,,,1,24,24
1273407,2018-12-06 20:00:59.4010000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1273813,2018-12-06 20:07:21.8700000,DTMK_dy1pd_jtjq.PV,,,1,24,24
1273917,2018-12-06 20:08:43.7600000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1273945,2018-12-06 20:08:43.8230000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1274235,2018-12-06 20:18:32.2920000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1554306,2018-12-07 15:11:53.7240000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
1554307,2018-12-07 15:11:55.7660000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1554860,2018-12-07 15:30:53.4380000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1555721,2018-12-07 15:34:23.7090000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
1555730,2018-12-07 15:34:31.7350000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1555823,2018-12-07 15:37:12.7660000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1556770,2018-12-07 15:41:05.0680000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
1556775,2018-12-07 15:41:09.1410000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1557177,2018-12-07 15:54:26.7040000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
1558022,2018-12-07 15:58:03.9590000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,704,192
1558044,2018-12-07 15:58:09.0160000,DTMK_dy1pd_jtjq.PV,1.0,1.0,0,192,192
1558573,2018-12-07 16:15:44.6410000,DTMK_dy1pd_jtjq.PV,0.0,0.0,0,192,192
