,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
121,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jtlx.PV,0.0,0.0,133,192,192
4635,2018-12-03 00:14:24.1790000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
4689,2018-12-03 00:14:34.1740000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
5796,2018-12-03 00:50:54.0180000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
85928,2018-12-03 05:36:23.8670000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
85975,2018-12-03 05:36:30.8930000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
86406,2018-12-03 05:50:48.0650000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
238665,2018-12-03 14:11:54.0040000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
238713,2018-12-03 14:12:01.0770000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
238747,2018-12-03 14:12:33.9990000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
263261,2018-12-03 15:46:24.3470000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
263310,2018-12-03 15:46:32.3890000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
264751,2018-12-03 16:35:11.4990000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
266293,2018-12-03 16:40:43.5500000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
266314,2018-12-03 16:40:46.5770000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
267183,2018-12-03 17:10:09.7640000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
267566,2018-12-03 17:11:53.8000000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
267609,2018-12-03 17:12:00.8270000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
269585,2018-12-03 18:15:18.2170000,DTMK_dy1pd_jtlx.PV,,,1,24,24
269707,2018-12-03 18:16:40.2950000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
271002,2018-12-03 18:54:33.8790000,DTMK_dy1pd_jtlx.PV,,,1,536,24
271124,2018-12-03 18:55:54.1600000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,704,192
271247,2018-12-03 18:56:03.9990000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
279906,2018-12-03 19:31:24.3470000,DTMK_dy1pd_jtlx.PV,,,1,536,24
280028,2018-12-03 19:32:44.3940000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,704,192
280163,2018-12-03 19:32:54.3740000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
468778,2018-12-04 07:02:04.3790000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
468811,2018-12-04 07:02:12.5300000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
469337,2018-12-04 07:19:16.6710000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
602428,2018-12-04 14:35:43.8940000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,704,192
602483,2018-12-04 14:35:53.8740000,DTMK_dy1pd_jtlx.PV,1.0,1.0,0,192,192
602545,2018-12-04 14:37:26.1080000,DTMK_dy1pd_jtlx.PV,0.0,0.0,0,192,192
