,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
130,2018-12-03 00:00:00.0000000,DTMK_dy1pd_jwpp.PV,0.0,0.0,133,192,192
263742,2018-12-03 16:00:44.2170000,DTMK_dy1pd_jwpp.PV,1.0,1.0,0,192,192
264752,2018-12-03 16:35:11.5140000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
269558,2018-12-03 18:15:13.5350000,DTMK_dy1pd_jwpp.PV,,,1,536,24
269680,2018-12-03 18:16:34.2540000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
269804,2018-12-03 18:16:44.2490000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
271008,2018-12-03 18:54:33.8790000,DTMK_dy1pd_jwpp.PV,,,1,536,24
271130,2018-12-03 18:55:54.1600000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
271253,2018-12-03 18:56:03.9990000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
279912,2018-12-03 19:31:24.3470000,DTMK_dy1pd_jwpp.PV,,,1,536,24
280034,2018-12-03 19:32:44.3940000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
280169,2018-12-03 19:32:54.3740000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
630899,2018-12-04 19:14:54.3160000,DTMK_dy1pd_jwpp.PV,,,1,536,24
631021,2018-12-04 19:16:13.9730000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
631169,2018-12-04 19:16:23.9680000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
933686,2018-12-05 16:10:14.0190000,DTMK_dy1pd_jwpp.PV,1.0,1.0,0,704,192
933692,2018-12-05 16:10:21.0300000,DTMK_dy1pd_jwpp.PV,1.0,1.0,0,192,192
933760,2018-12-05 16:12:32.1860000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
958300,2018-12-05 18:48:03.6130000,DTMK_dy1pd_jwpp.PV,,,1,536,24
958422,2018-12-05 18:49:23.8480000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
958570,2018-12-05 18:49:33.8430000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
1259986,2018-12-06 13:07:03.5150000,DTMK_dy1pd_jwpp.PV,,,1,536,24
1260108,2018-12-06 13:08:24.4680000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
1260231,2018-12-06 13:08:34.5880000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
1271017,2018-12-06 19:03:04.0570000,DTMK_dy1pd_jwpp.PV,,,1,24,24
1271124,2018-12-06 19:04:24.3430000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
1271250,2018-12-06 19:04:34.3380000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,192,192
1272795,2018-12-06 19:53:53.7030000,DTMK_dy1pd_jwpp.PV,,,1,536,24
1272917,2018-12-06 19:55:14.2180000,DTMK_dy1pd_jwpp.PV,0.0,0.0,0,704,192
