,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
143,2018-12-03 00:00:00.0000000,DTMK_dy1pd_qs.PV,1.0,1.0,133,192,192
269587,2018-12-03 18:15:18.2170000,DTMK_dy1pd_qs.PV,,,1,24,24
269709,2018-12-03 18:16:40.3110000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
271035,2018-12-03 18:54:39.9050000,DTMK_dy1pd_qs.PV,,,1,24,24
271157,2018-12-03 18:56:02.1240000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
279941,2018-12-03 19:31:30.3890000,DTMK_dy1pd_qs.PV,,,1,24,24
280063,2018-12-03 19:32:51.4200000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
630927,2018-12-04 19:14:55.3430000,DTMK_dy1pd_qs.PV,,,1,24,24
631049,2018-12-04 19:16:17.9990000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
958329,2018-12-05 18:48:07.6390000,DTMK_dy1pd_qs.PV,,,1,24,24
958451,2018-12-05 18:49:28.8740000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1260014,2018-12-06 13:07:09.4950000,DTMK_dy1pd_qs.PV,,,1,24,24
1260136,2018-12-06 13:08:31.5100000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1271026,2018-12-06 19:03:04.0570000,DTMK_dy1pd_qs.PV,,,1,24,24
1271152,2018-12-06 19:04:26.3700000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1272823,2018-12-06 19:53:54.7450000,DTMK_dy1pd_qs.PV,,,1,24,24
1272945,2018-12-06 19:55:17.3540000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1273287,2018-12-06 19:59:37.4010000,DTMK_dy1pd_qs.PV,,,1,24,24
1273410,2018-12-06 20:00:59.4010000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1273816,2018-12-06 20:07:21.8700000,DTMK_dy1pd_qs.PV,,,1,24,24
1273934,2018-12-06 20:08:43.7600000,DTMK_dy1pd_qs.PV,0.0,0.0,0,192,192
1273947,2018-12-06 20:08:43.8230000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1560042,2018-12-07 16:34:32.1260000,DTMK_dy1pd_qs.PV,,,1,24,24
1560164,2018-12-07 16:46:45.8910000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1560875,2018-12-07 16:58:25.7510000,DTMK_dy1pd_qs.PV,,,1,24,24
1560998,2018-12-07 16:59:47.7980000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
1909279,2018-12-08 19:32:42.0300000,DTMK_dy1pd_qs.PV,,,1,24,24
1909398,2018-12-08 19:34:04.0300000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
2062580,2018-12-09 05:19:41.1450000,DTMK_dy1pd_qs.PV,,,1,24,24
2062702,2018-12-09 05:27:51.3950000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
2091258,2018-12-09 07:10:51.6610000,DTMK_dy1pd_qs.PV,,,1,24,24
2091377,2018-12-09 07:11:03.6300000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
2233011,2018-12-09 17:48:35.7860000,DTMK_dy1pd_qs.PV,,,1,24,24
2233133,2018-12-09 17:51:19.7700000,DTMK_dy1pd_qs.PV,0.0,0.0,0,192,192
2233242,2018-12-09 17:51:23.7440000,DTMK_dy1pd_qs.PV,1.0,1.0,0,704,192
2233253,2018-12-09 17:51:32.7550000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
2240286,2018-12-09 18:40:00.4730000,DTMK_dy1pd_qs.PV,,,1,24,24
2240405,2018-12-09 18:42:44.2230000,DTMK_dy1pd_qs.PV,1.0,1.0,0,192,192
