,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
151,2018-12-03 00:00:00.0000000,DTMK_dy1pd_zd.PV,1.0,1.0,133,192,192
269588,2018-12-03 18:15:18.2170000,DTMK_dy1pd_zd.PV,,,1,24,24
269710,2018-12-03 18:16:40.3110000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
271036,2018-12-03 18:54:39.9200000,DTMK_dy1pd_zd.PV,,,1,24,24
271158,2018-12-03 18:56:02.1240000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
279943,2018-12-03 19:31:30.3890000,DTMK_dy1pd_zd.PV,,,1,24,24
280065,2018-12-03 19:32:51.4200000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
630929,2018-12-04 19:14:55.3430000,DTMK_dy1pd_zd.PV,,,1,24,24
631051,2018-12-04 19:16:17.9990000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
958331,2018-12-05 18:48:07.6390000,DTMK_dy1pd_zd.PV,,,1,24,24
958453,2018-12-05 18:49:28.8740000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1260015,2018-12-06 13:07:09.4950000,DTMK_dy1pd_zd.PV,,,1,24,24
1260137,2018-12-06 13:08:31.5100000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1271031,2018-12-06 19:03:04.0570000,DTMK_dy1pd_zd.PV,,,1,24,24
1271153,2018-12-06 19:04:26.3700000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1272824,2018-12-06 19:53:54.7450000,DTMK_dy1pd_zd.PV,,,1,24,24
1272946,2018-12-06 19:55:17.3540000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1273288,2018-12-06 19:59:37.4010000,DTMK_dy1pd_zd.PV,,,1,24,24
1273411,2018-12-06 20:00:59.4010000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1273817,2018-12-06 20:07:21.8700000,DTMK_dy1pd_zd.PV,,,1,24,24
1273939,2018-12-06 20:08:43.7600000,DTMK_dy1pd_zd.PV,0.0,0.0,0,192,192
1273948,2018-12-06 20:08:43.8230000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1560043,2018-12-07 16:34:32.1260000,DTMK_dy1pd_zd.PV,,,1,24,24
1560165,2018-12-07 16:46:45.8910000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1560877,2018-12-07 16:58:25.7510000,DTMK_dy1pd_zd.PV,,,1,24,24
1561000,2018-12-07 16:59:47.7980000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
1909281,2018-12-08 19:32:42.0300000,DTMK_dy1pd_zd.PV,,,1,24,24
1909403,2018-12-08 19:34:04.0300000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
2062582,2018-12-09 05:19:41.1450000,DTMK_dy1pd_zd.PV,,,1,24,24
2062704,2018-12-09 05:27:51.3950000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
2091260,2018-12-09 07:10:51.6610000,DTMK_dy1pd_zd.PV,,,1,24,24
2091382,2018-12-09 07:11:03.6300000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
2233012,2018-12-09 17:48:35.7860000,DTMK_dy1pd_zd.PV,,,1,24,24
2233134,2018-12-09 17:51:19.7700000,DTMK_dy1pd_zd.PV,0.0,0.0,0,192,192
2233243,2018-12-09 17:51:23.7440000,DTMK_dy1pd_zd.PV,1.0,1.0,0,704,192
2233254,2018-12-09 17:51:32.7550000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
2240288,2018-12-09 18:40:00.4890000,DTMK_dy1pd_zd.PV,,,1,24,24
2240410,2018-12-09 18:42:44.2230000,DTMK_dy1pd_zd.PV,1.0,1.0,0,192,192
