,motor1_current,motor2_current,motor3_current,motor4_current,motor5_current,motor6_current,total_coal_quality,instantaneous_coal_quality
0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2
2,1,1,1,1,1,1,1,3
3,1,1,1,1,1,1,2,1
4,1,1,1,1,1,1,2,2
5,1,1,1,1,1,1,2,3
6,1,1,1,1,1,1,3,1
7,1,1,1,1,1,1,3,2
8,1,1,1,1,1,1,3,3
9,1,1,1,1,1,2,1,1
10,1,1,1,1,1,2,1,2
11,1,1,1,1,1,2,1,3
12,1,1,1,1,1,2,2,1
13,1,1,1,1,1,2,2,2
14,1,1,1,1,1,2,2,3
15,1,1,1,1,1,2,3,1
16,1,1,1,1,1,2,3,2
17,1,1,1,1,1,2,3,3
18,1,1,1,1,1,3,1,1
19,1,1,1,1,1,3,1,2
20,1,1,1,1,1,3,1,3
21,1,1,1,1,1,3,2,1
22,1,1,1,1,1,3,2,2
23,1,1,1,1,1,3,2,3
24,1,1,1,1,1,3,3,1
25,1,1,1,1,1,3,3,2
26,1,1,1,1,1,3,3,3
27,1,1,1,1,2,1,1,1
28,1,1,1,1,2,1,1,2
29,1,1,1,1,2,1,1,3
30,1,1,1,1,2,1,2,1
31,1,1,1,1,2,1,2,2
32,1,1,1,1,2,1,2,3
33,1,1,1,1,2,1,3,1
34,1,1,1,1,2,1,3,2
35,1,1,1,1,2,1,3,3
36,1,1,1,1,2,2,1,1
37,1,1,1,1,2,2,1,2
38,1,1,1,1,2,2,1,3
39,1,1,1,1,2,2,2,1
40,1,1,1,1,2,2,2,2
41,1,1,1,1,2,2,2,3
42,1,1,1,1,2,2,3,1
43,1,1,1,1,2,2,3,2
44,1,1,1,1,2,2,3,3
45,1,1,1,1,2,3,1,1
46,1,1,1,1,2,3,1,2
47,1,1,1,1,2,3,1,3
48,1,1,1,1,2,3,2,1
49,1,1,1,1,2,3,2,2
50,1,1,1,1,2,3,2,3
51,1,1,1,1,2,3,3,1
52,1,1,1,1,2,3,3,2
53,1,1,1,1,2,3,3,3
54,1,1,1,1,3,1,1,1
55,1,1,1,1,3,1,1,2
56,1,1,1,1,3,1,1,3
57,1,1,1,1,3,1,2,1
58,1,1,1,1,3,1,2,2
59,1,1,1,1,3,1,2,3
60,1,1,1,1,3,1,3,1
61,1,1,1,1,3,1,3,2
62,1,1,1,1,3,1,3,3
63,1,1,1,1,3,2,1,1
64,1,1,1,1,3,2,1,2
65,1,1,1,1,3,2,1,3
66,1,1,1,1,3,2,2,1
67,1,1,1,1,3,2,2,2
68,1,1,1,1,3,2,2,3
69,1,1,1,1,3,2,3,1
70,1,1,1,1,3,2,3,2
71,1,1,1,1,3,2,3,3
72,1,1,1,1,3,3,1,1
73,1,1,1,1,3,3,1,2
74,1,1,1,1,3,3,1,3
75,1,1,1,1,3,3,2,1
76,1,1,1,1,3,3,2,2
77,1,1,1,1,3,3,2,3
78,1,1,1,1,3,3,3,1
79,1,1,1,1,3,3,3,2
80,1,1,1,1,3,3,3,3
81,1,1,1,2,1,1,1,1
82,1,1,1,2,1,1,1,2
83,1,1,1,2,1,1,1,3
84,1,1,1,2,1,1,2,1
85,1,1,1,2,1,1,2,2
86,1,1,1,2,1,1,2,3
87,1,1,1,2,1,1,3,1
88,1,1,1,2,1,1,3,2
89,1,1,1,2,1,1,3,3
90,1,1,1,2,1,2,1,1
91,1,1,1,2,1,2,1,2
92,1,1,1,2,1,2,1,3
93,1,1,1,2,1,2,2,1
